loc,disea,n,Dvlpd_NLCD06,Forest_NLCD06,Herbaceous_NLCD06,Tract_Frag06,FragPerim06,CWED_DF06,TECI_DF06,CWED_FH06,TECI_FH06,CWED_HD06,TECI_HD06,Pop_den,Median_age,Mean_income,long,lat
1,5,8000,0.341048086,-0.283725552,0.081071283,0.826004364,0.602585575,0.616191025,0.580667003,0.387112827,-0.194478208,0.820750485,0.768336266,0.234527865,1.527024895,0.530576945,-77.194122,38.767902
1,1,7998,-1.264370228,1.448799421,-0.075844164,-0.733247705,-0.722296857,-0.887422752,-0.904059447,0.692542629,1.453429344,-1.241803787,-1.36552895,-0.664336943,0.706147612,0.469952366,-76.912063,37.48355
1,0,7989,-1.290806703,1.681581959,0.323166205,-0.73141986,-0.744778376,-0.94489624,-1.017686718,0.575483052,2.015401112,-1.312290991,-1.509364105,-0.665232622,0.855398027,-0.515281715,-80.020749,37.061784
1,2,7972,-1.143797373,0.716240783,1.829967778,-0.367780988,-0.41267356,-0.606241304,-0.375909324,0.903186509,1.209187037,-0.849476306,-0.593492505,-0.644145598,0.452421906,0.472661844,-79.362106,37.356264
0,5,7952,0.542554476,-0.697399079,0.160885953,-0.395553069,-0.439294821,0.355327019,0.283916181,-0.456831493,-0.84409851,1.329778952,1.478249296,0.337878625,-1.135600465,0.783262717,-77.531399,38.918973
0,14,7949,-0.364016361,0.656350736,-0.407257174,-0.212712071,-0.229983218,1.066381761,1.560079872,0.638015531,0.02199283,-0.19393235,-0.138025948,-0.441926476,-0.011045001,-0.09209127,-78.433066,38.125214
0,50,7871,-0.978721997,1.635164385,-0.868403153,-0.534856031,-0.575285928,-0.7492612,-0.767156223,1.27345486,1.315489285,-1.00849031,-1.257872634,-0.663519346,-0.303737519,-0.197904122,-78.078142,38.943509
1,1,7846,-1.002693267,1.36246722,0.172639843,-0.488002121,-0.441190967,-0.316479805,0.110562968,1.032742927,1.150913026,-0.962492744,-0.892159341,-0.61107043,-0.055029506,1.143101431,-77.477288,38.427403
1,2,7837,-0.993595405,0.764748353,1.340945549,-0.659597289,-0.648869462,-0.648386386,-0.428397293,0.110540097,0.501255888,-0.622190487,-0.041600279,-0.543827059,0.362871657,0.827916146,-76.282201,36.67967
1,2,7803,-1.255187596,0.255587204,2.900681642,-0.827121818,-0.886208414,-0.961927802,-1.048683297,-0.285014801,1.318634158,-1.238145096,-1.140296102,-0.651965002,0.034520743,0.585053092,-76.152292,36.64165
1,0,7736,0.974636502,-1.085601517,0.03679104,-0.606988002,-0.634244641,-0.24397516,-0.182664022,-1.340047552,-1.085476325,1.115612187,1.657573988,0.842805786,-1.263957869,-0.208589603,-76.120984,36.80226
